Search rep 1 (of 2)
random seed = 220553
gen	best_like	time	optPrecision
9640	-5004.582207	197	0.402
9650	-5004.582207	197	0.402
9660	-5004.582207	197	0.402
9670	-5004.577183	197	0.402
9680	-5004.575635	197	0.402
9690	-5004.574276	197	0.402
9700	-5004.573981	197	0.402
9710	-5004.573801	197	0.402
9720	-5004.569551	198	0.402
9730	-5004.569542	198	0.402
9740	-5004.568787	198	0.402
9750	-5004.567609	198	0.402
9760	-5004.565752	198	0.402
9770	-5004.565752	198	0.402
9780	-5004.565267	198	0.402
9790	-5004.564825	198	0.402
9800	-5004.561366	198	0.402
9810	-5004.561366	198	0.402
9820	-5004.561366	198	0.402
9830	-5004.561309	198	0.402
9840	-5004.552518	198	0.402
9850	-5004.552518	198	0.402
9860	-5004.552518	198	0.402
9870	-5004.54341	198	0.402
9880	-5004.542618	198	0.402
9890	-5004.539058	198	0.402
9900	-5004.528078	198	0.402
9910	-5004.528075	198	0.402
9920	-5004.527922	198	0.402
9930	-5004.520152	198	0.402
9940	-5004.520055	198	0.402
9950	-5004.520055	198	0.402
9960	-5004.519913	198	0.402
9970	-5004.515582	198	0.402
9980	-5004.508241	198	0.402
9990	-5004.508241	198	0.402
10000	-5004.508185	199	0.402
10010	-5004.505486	199	0.402
10020	-5004.505482	199	0.402
10030	-5004.504723	199	0.402
10040	-5004.500613	199	0.402
10050	-5004.500373	199	0.402
10060	-5004.500071	199	0.402
10070	-5004.500071	199	0.402
10080	-5004.500071	199	0.402
10090	-5004.486143	199	0.402
10100	-5004.485921	199	0.402
10110	-5004.468198	199	0.353
10120	-5004.461824	199	0.353
10130	-5004.461029	199	0.353
10140	-5004.460766	199	0.353
10150	-5004.456172	199	0.353
10160	-5004.450839	199	0.353
10170	-5004.446482	199	0.353
10180	-5004.439261	199	0.353
10190	-5004.434794	199	0.353
10200	-5004.433753	199	0.353
10210	-5004.433392	199	0.353
10220	-5004.433392	199	0.353
10230	-5004.428064	199	0.353
10240	-5004.424104	199	0.353
10250	-5004.424104	199	0.353
10260	-5004.421579	199	0.353
10270	-5004.414929	199	0.353
10280	-5004.414929	200	0.353
10290	-5004.40794	200	0.353
10300	-5004.40793	200	0.353
10310	-5004.404317	200	0.353
10320	-5004.403916	200	0.353
10330	-5004.403916	200	0.353
10340	-5004.400768	200	0.353
10350	-5004.400768	200	0.353
10360	-5004.400702	200	0.353
10370	-5004.40069	200	0.353
10380	-5004.395705	200	0.353
10390	-5004.395705	200	0.353
10400	-5004.395705	200	0.353
10410	-5004.395163	200	0.353
10420	-5004.39423	200	0.353
10430	-5004.393691	200	0.353
10440	-5004.393691	200	0.353
10450	-5004.391147	200	0.353
10460	-5004.389586	200	0.353
10470	-5004.389586	200	0.353
10480	-5004.389586	200	0.353
10490	-5004.386856	200	0.353
10500	-5004.385677	200	0.353
10510	-5004.372593	200	0.353
10520	-5004.372029	200	0.353
10530	-5004.371992	200	0.353
10540	-5004.371979	200	0.353
10550	-5004.358039	200	0.353
10560	-5004.355035	201	0.353
10570	-5004.353933	201	0.353
10580	-5004.352408	201	0.353
10590	-5004.352408	201	0.353
10600	-5004.348819	201	0.353
10610	-5004.348819	201	0.353
10620	-5004.348819	201	0.353
10630	-5004.348506	201	0.353
10640	-5004.348409	201	0.353
10650	-5004.346738	201	0.353
10660	-5004.346738	201	0.353
10670	-5004.345995	201	0.353
10680	-5004.345508	201	0.353
10690	-5004.339357	201	0.353
10700	-5004.338514	201	0.353
10710	-5004.336601	201	0.353
10720	-5004.32274	201	0.353
10730	-5004.30983	201	0.353
10740	-5004.30983	201	0.353
10750	-5004.307188	201	0.353
10760	-5004.30504	201	0.353
10770	-5004.303494	201	0.353
10780	-5004.30323	201	0.353
10790	-5004.302323	201	0.353
10800	-5004.300777	201	0.353
10810	-5004.297838	201	0.353
10820	-5004.288519	201	0.353
10830	-5004.286441	201	0.353
10840	-5004.286192	202	0.353
10850	-5004.281879	202	0.353
10860	-5004.278978	202	0.353
10870	-5004.278978	202	0.353
10880	-5004.278834	202	0.353
10890	-5004.278831	202	0.353
10900	-5004.264411	202	0.353
10910	-5004.257374	202	0.353
10920	-5004.255434	202	0.353
10930	-5004.253609	202	0.353
10940	-5004.252601	202	0.353
10950	-5004.252593	202	0.353
10960	-5004.252593	202	0.353
10970	-5004.243236	202	0.353
10980	-5004.243236	202	0.353
10990	-5004.243014	202	0.353
11000	-5004.243014	202	0.353
11010	-5004.241581	202	0.353
11020	-5004.24002	202	0.353
11030	-5004.239906	202	0.353
11040	-5004.239896	202	0.353
11050	-5004.238242	202	0.353
11060	-5004.238242	202	0.353
11070	-5004.236648	202	0.353
11080	-5004.235539	202	0.353
11090	-5004.235539	202	0.353
11100	-5004.217997	202	0.353
11110	-5004.217885	202	0.353
11120	-5004.216132	203	0.353
11130	-5004.216132	203	0.353
11140	-5004.211579	203	0.353
11150	-5004.211473	203	0.353
11160	-5004.205782	203	0.353
11170	-5004.20238	203	0.353
11180	-5004.197795	203	0.353
11190	-5004.197698	203	0.353
11200	-5004.197675	203	0.353
11210	-5004.180154	203	0.353
11220	-5004.180154	203	0.353
11230	-5004.175042	203	0.353
11240	-5004.167361	203	0.353
11250	-5004.166873	203	0.353
11260	-5004.166486	203	0.353
